job_id,title,company,description,required_skills,experience_required,min_qualification,location,salary_range,job_type
1,AI Research Intern,DataSolutions Inc,Seeking a talented AI Research Intern to join our innovative team. Great career growth and learning opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning, NLP",5.2,B.Tech,Noida,7-23 LPA,Internship
2,Backend Developer,Red Hat,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",3.0,BCA,Delhi,9-27 LPA,Internship
3,Performance Engineer,DataSolutions Inc,Seeking a talented Performance Engineer to join our innovative team. Great career growth and learning opportunities.,"Performance Testing, JMeter, LoadRunner, Python, Monitoring, Optimization",3.9,Any Graduate,Nagpur,16-27 LPA,Contract
4,Release Engineer,Wipro,Seeking a talented Release Engineer to join our innovative team. Great career growth and learning opportunities.,"CI/CD, Jenkins, Git, Docker, Release Management, Automation, Linux",5.7,BCA,Chennai,16-30 LPA,Full-time
5,Web Developer,AlphaCode,Seeking a talented Web Developer to join our innovative team. Great career growth and learning opportunities.,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, jQuery, Bootstrap",6.7,MCA,Hyderabad,5-32 LPA,Full-time
6,IoT Engineer,Cognizant,Seeking a talented IoT Engineer to join our innovative team. Great career growth and learning opportunities.,"Embedded Systems, Arduino, Raspberry Pi, C, Python, MQTT, Sensors",4.2,BCA,Indore,20-23 LPA,Contract
7,Backend Developer,Cisco,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",2.1,Any Graduate,Visakhapatnam,14-38 LPA,Full-time
8,Frontend Developer,AI Innovations,Seeking a talented Frontend Developer to join our innovative team. Great career growth and learning opportunities.,"JavaScript, React, HTML, CSS, TypeScript, Redux, Webpack, Tailwind",4.6,MCA,Delhi,10-23 LPA,Contract
9,Business Analyst,Adobe,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",4.4,MCA,Chennai,14-31 LPA,Full-time
10,Business Analyst,GitLab,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",6.6,Any Graduate,Delhi,8-37 LPA,Full-time
