application_id,job_id,candidate_id,skill_match_score,experience_match_score,cgpa_score,projects_score,overall_score,outcome
1,117,477,0.0,88.0,67.1,90,49.97,rejected
2,53,62,0.0,100.0,85.9,0,42.88,rejected
3,191,488,0.0,85.0,88.7,0,38.8,rejected
4,8,451,0.0,76.0,76.9,70,44.84,rejected
5,122,90,0.0,19.0,82.3,30,22.55,hired
6,23,372,0.0,91.0,66.9,60,46.34,rejected
7,149,356,0.0,22.0,68.7,100,31.91,rejected
8,70,12,14.29,50.5,94.9,20,38.1,rejected
9,123,33,0.0,34.0,64.9,10,21.44,rejected
10,40,111,14.29,86.5,70.3,10,43.71,shortlisted
11,174,194,14.29,79.0,78.6,0,41.2,hired
12,128,222,0.0,100.0,75.5,80,53.33,rejected
13,106,90,62.5,95.5,82.3,30,70.5,rejected
14,148,460,0.0,92.5,89.0,10,42.6,hired
15,17,492,0.0,91.0,85.7,100,55.16,rejected
16,72,364,14.29,83.5,88.8,50,51.58,rejected
17,123,104,14.29,22.0,68.7,40,28.62,rejected
18,7,344,0.0,26.5,66.9,40,23.98,rejected
19,49,121,0.0,43.0,79.3,80,36.79,rejected
20,1,333,0.0,95.5,61.4,100,52.86,hired
21,145,428,16.67,35.5,82.2,20,32.65,rejected
22,144,488,0.0,23.5,88.7,0,20.35,rejected
23,60,367,0.0,38.5,69.1,40,27.91,rejected
24,13,147,14.29,67.0,80.3,60,46.86,rejected
25,154,189,14.29,47.5,89.7,70,43.92,rejected
26,121,279,0.0,37.0,85.7,30,28.45,shortlisted
27,169,462,33.33,76.0,94.9,50,57.87,shortlisted
28,142,277,16.67,97.0,74.5,100,61.94,shortlisted
29,189,328,0.0,70.0,97.6,60,44.64,rejected
30,45,298,0.0,89.5,71.6,30,42.09,rejected
31,120,178,0.0,2.5,86.6,50,21.24,rejected
32,38,417,0.0,59.5,86.2,20,33.78,rejected
33,127,346,0.0,80.5,60.3,60,42.2,rejected
34,93,493,16.67,88.0,85.6,0,45.91,rejected
35,155,130,0.0,34.0,86.7,90,36.7,rejected
36,86,474,0.0,86.5,92.0,60,48.75,rejected
37,120,231,0.0,55.0,97.6,40,37.14,rejected
38,175,85,0.0,86.5,96.0,100,55.35,rejected
39,88,260,0.0,35.5,63.6,70,30.69,rejected
40,161,75,0.0,28.0,63.5,70,28.43,rejected
41,139,324,16.67,73.0,68.8,40,44.89,rejected
42,41,436,0.0,0.0,61.2,50,16.68,rejected
43,36,418,14.29,82.0,64.5,20,42.99,rejected
44,178,203,0.0,82.0,73.3,10,37.09,shortlisted
45,108,451,14.29,89.5,76.9,70,54.6,shortlisted
46,129,279,0.0,16.0,85.7,30,22.15,hired
47,27,295,0.0,58.0,86.1,40,36.31,hired
48,141,341,0.0,52.0,66.9,70,36.13,rejected
49,190,117,0.0,82.0,67.6,20,37.74,rejected
50,86,251,0.0,53.5,72.6,0,26.94,shortlisted
51,188,429,16.67,71.5,94.0,10,43.72,rejected
52,141,480,0.0,85.0,96.5,100,54.98,rejected
53,169,420,0.0,79.0,83.4,90,49.71,rejected
54,148,180,14.29,37.0,67.9,70,37.5,rejected
55,177,385,0.0,56.5,84.4,100,44.61,rejected
56,58,328,0.0,79.0,97.6,60,47.34,rejected
57,40,428,0.0,46.0,82.2,20,29.13,rejected
58,193,97,0.0,49.0,97.6,80,41.34,rejected
59,130,410,0.0,77.5,73.7,0,34.3,shortlisted
60,37,469,0.0,56.5,84.2,20,32.58,shortlisted
61,79,124,0.0,88.0,81.9,50,46.18,rejected
62,78,423,85.71,8.5,93.0,50,58.29,shortlisted
63,164,50,0.0,29.5,65.3,20,21.64,rejected
64,49,13,0.0,5.5,69.7,80,24.1,hired
65,76,62,0.0,50.5,85.9,0,28.03,rejected
66,199,349,0.0,19.0,70.3,80,28.25,shortlisted
67,65,232,28.57,83.5,90.6,100,65.07,rejected
68,109,484,0.0,47.5,92.4,40,34.11,rejected
69,104,6,0.0,73.0,85.7,70,45.25,rejected
70,77,176,0.0,0.0,75.7,70,21.86,rejected
71,54,156,0.0,50.5,72.0,30,30.45,rejected
72,151,471,0.0,25.0,60.3,60,25.55,rejected
73,158,304,0.0,29.5,81.0,100,36.0,hired
74,126,17,16.67,65.5,93.2,100,55.3,shortlisted
75,90,16,85.71,80.5,85.2,80,83.22,shortlisted
76,122,441,14.29,38.5,83.3,80,41.76,rejected
77,193,276,0.0,40.0,81.7,100,39.25,rejected
78,109,353,12.5,74.5,64.6,90,50.54,rejected
79,90,486,85.71,91.0,80.0,50,81.09,rejected
80,126,14,0.0,97.0,61.8,100,53.37,rejected
81,125,389,16.67,40.0,85.0,80,43.42,rejected
82,122,130,0.0,20.5,86.7,90,32.66,rejected
83,22,126,28.57,14.5,78.4,10,29.04,rejected
84,184,324,0.0,85.0,68.8,40,41.82,rejected
85,117,195,0.0,41.5,67.7,50,30.1,rejected
86,62,310,16.67,77.5,85.4,50,50.23,rejected
87,9,166,0.0,77.5,89.3,50,44.14,rejected
88,199,361,14.29,37.0,94.8,70,41.53,rejected
89,56,315,0.0,86.5,87.4,100,54.06,rejected
90,3,351,16.67,77.5,92.6,60,52.81,shortlisted
91,173,400,0.0,92.5,96.9,10,43.78,hired
92,130,228,14.29,55.0,84.6,30,39.4,shortlisted
93,47,238,0.0,71.5,92.5,30,39.83,rejected
94,145,199,0.0,37.0,60.1,90,33.61,rejected
95,138,335,0.0,61.0,94.8,50,40.02,rejected
96,65,300,14.29,34.0,62.6,30,29.8,shortlisted
97,133,252,0.0,43.0,89.6,10,27.84,shortlisted
98,116,151,0.0,83.5,68.9,10,36.88,rejected
99,11,149,0.0,61.0,66.0,0,28.2,rejected
100,110,57,0.0,44.5,70.6,30,28.44,rejected
101,20,102,12.5,76.0,97.6,40,48.44,rejected
102,64,3,0.0,85.0,76.1,0,36.91,rejected
103,191,414,0.0,14.5,97.6,40,24.99,rejected
104,46,396,0.0,64.0,90.8,90,46.32,rejected
105,78,94,0.0,16.0,65.5,80,26.62,rejected
106,175,299,0.0,92.5,69.6,20,41.19,rejected
107,59,366,0.0,79.0,76.6,20,38.19,rejected
108,180,486,14.29,88.0,80.0,50,51.61,rejected
109,26,85,0.0,74.5,96.0,100,51.75,shortlisted
110,190,485,14.29,80.5,82.9,100,57.3,rejected
111,7,225,14.29,50.5,74.2,20,34.99,rejected
112,179,221,0.0,47.5,89.4,40,33.66,hired
113,135,460,0.0,91.0,89.0,10,42.15,rejected
114,163,279,14.29,35.5,85.7,30,33.72,shortlisted
115,122,18,0.0,38.5,85.0,90,37.8,rejected
116,143,360,16.67,85.0,88.0,100,60.37,shortlisted
117,17,45,16.67,70.0,61.8,70,47.44,rejected
118,171,184,0.0,86.5,95.6,90,53.79,rejected
119,130,471,0.0,83.5,60.3,60,43.09,rejected
